CustomerID,Income,SpendingScore
1,15,39
2,15,81
3,16,6
4,16,77
5,17,40
6,17,76
7,18,6
8,18,94
9,19,3
10,19,72
11,19,14
12,19,99
13,20,15
14,20,77
15,20,13
16,20,79
17,21,35
18,21,66
19,23,29
20,23,98
21,24,35
22,24,73
23,25,5
24,25,73
25,28,54
26,28,82
27,33,4
28,33,92
29,39,61
30,40,55
31,42,52
32,43,50
33,44,48
34,46,54
35,48,51
36,49,56
37,50,55
38,54,47
39,54,59
40,54,55
41,58,60
42,60,52
43,62,42
44,63,46
45,64,42
46,65,48
47,67,52
48,70,56
49,71,95
50,71,35
51,75,93
52,75,5
53,78,90
54,78,17
55,81,88
56,81,15
57,85,89
58,85,35
59,87,75
60,88,18
